"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","840","userCanGenerateAuthTokenTest()","","2026-02-11","passed","2026-02-11","","iteration2.api.LoginUserTest","iteration2.api.LoginUserTest","userCanGenerateAuthTokenTest"
"","745","adminCanCreateUserWithInvalidData(String, String, String, String, List) [1] username=  , password=Password33!, role=USER, errorKey=username, errorValues=[Username cannot be blank, Username must be between 3 and 15 characters, Username must contain only letters, digits, dashes, underscores, and dots]","","2026-02-11","passed","2026-02-11","","iteration2.api.CreateUserTest","iteration2.api.CreateUserTest","adminCanCreateUserWithInvalidData"
"","2951","userCanGenerateAuthTokenTest()","","2026-02-11","passed","2026-02-11","","iteration2.api.CreateAccountTest","iteration2.api.CreateAccountTest","userCanGenerateAuthTokenTest"
"","281","adminCanGenerateAuthTokenTest()","","2026-02-11","passed","2026-02-11","","iteration2.api.LoginUserTest","iteration2.api.LoginUserTest","adminCanGenerateAuthTokenTest"
"","1397","userInvalidTransfer(String, String, int, int, double) [1] userAuthSender=Basic cGN3OGpVYzdHcEJNZ2M6T0RPYmx2aDg0MiUm, userAuthReceiver=Basic blpCRndiVEZUUERBNjpHUElzcmxnMDU0JSQ=, senderId=6, receiverId=7, transferBalance=0","","2026-02-11","passed","2026-02-11","","iteration2.api.TransferTest","iteration2.api.TransferTest","userInvalidTransfer"
"","751","userCanDepositMoney(double) [2] depositBalance=0.01","","2026-02-11","passed","2026-02-11","","iteration2.api.DepositTest","iteration2.api.DepositTest","userCanDepositMoney"
"","11463","userCanCreateAccountTest()","","2026-02-11","broken","2026-02-11","","iteration2.ui.CreateAccountTest","iteration2.ui.CreateAccountTest","userCanCreateAccountTest"
"","1451","userInvalidTransferToken(String, int, int, double) [2] userAuthSender=Basic YWRtaW46YWRtaW4=, senderId=6, receiverId=7, transferBalance=50","","2026-02-11","passed","2026-02-11","","iteration2.api.TransferTest","iteration2.api.TransferTest","userInvalidTransferToken"
"","559","userCanUpdateAccountName(String, String) [3] userAuth=Basic ZUs4RUp1MXBSOVM6VEJJcmFwYTM2NCUl, updateName=M k","","2026-02-11","passed","2026-02-11","","iteration2.api.UpdateNameTest","iteration2.api.UpdateNameTest","userCanUpdateAccountName"
"","1016","userCanMakeDepositTest()","","2026-02-11","broken","2026-02-11","","iteration2.ui.DepositTest","iteration2.ui.DepositTest","userCanMakeDepositTest"
"","683","userCanLoginWithCorrectDataTest()","","2026-02-11","broken","2026-02-11","","iteration2.ui.LoginUserTest","iteration2.ui.LoginUserTest","userCanLoginWithCorrectDataTest"
"","0","TransferTest","","2026-02-11","broken","2026-02-11","","iteration2.ui.TransferTest","iteration2.ui.TransferTest",""
"","20","adminCanCreateUserTest()","","2026-02-11","broken","2026-02-11","","iteration2.ui.CreateUserTest","iteration2.ui.CreateUserTest","adminCanCreateUserTest"
"","17","adminCannotCreateUserWithInvalidDataTest()","","2026-02-11","broken","2026-02-11","","iteration2.ui.CreateUserTest","iteration2.ui.CreateUserTest","adminCannotCreateUserWithInvalidDataTest"
"","1866","userCanTransfer(String, String, int, int, double) [1] userAuthSender=Basic cGN3OGpVYzdHcEJNZ2M6T0RPYmx2aDg0MiUm, userAuthReceiver=Basic blpCRndiVEZUUERBNjpHUElzcmxnMDU0JSQ=, senderId=6, receiverId=7, transferBalance=50.0","","2026-02-11","passed","2026-02-11","","iteration2.api.TransferTest","iteration2.api.TransferTest","userCanTransfer"
"","20","adminCanLoginWithCorrectDataTest()","","2026-02-11","broken","2026-02-11","","iteration2.ui.LoginUserTest","iteration2.ui.LoginUserTest","adminCanLoginWithCorrectDataTest"
"","804","userWithoutAccountCantTransfer()","","2026-02-11","passed","2026-02-11","","iteration2.api.TransferTest","iteration2.api.TransferTest","userWithoutAccountCantTransfer"
"","871","userInvalidToken(String, int) [2] userAuth=Basic dW1wWVVPN2U6WklZdm9zaTU2MiYl, userId=4","","2026-02-11","passed","2026-02-11","","iteration2.api.DepositTest","iteration2.api.DepositTest","userInvalidToken"
"","721","userCanUpdateAccountName(String, String) [1] userAuth=Basic ZUs4RUp1MXBSOVM6VEJJcmFwYTM2NCUl, updateName=Murka kisa","","2026-02-11","passed","2026-02-11","","iteration2.api.UpdateNameTest","iteration2.api.UpdateNameTest","userCanUpdateAccountName"
"","322","adminCanCreateUserWithInvalidData(String, String, String, String, List) [3] username=abc$, password=Password33!, role=USER, errorKey=username, errorValues=[Username must contain only letters, digits, dashes, underscores, and dots]","","2026-02-11","passed","2026-02-11","","iteration2.api.CreateUserTest","iteration2.api.CreateUserTest","adminCanCreateUserWithInvalidData"
"","1483","userCanTransfer(String, String, int, int, double) [2] userAuthSender=Basic cGN3OGpVYzdHcEJNZ2M6T0RPYmx2aDg0MiUm, userAuthReceiver=Basic blpCRndiVEZUUERBNjpHUElzcmxnMDU0JSQ=, senderId=6, receiverId=7, transferBalance=0.01","","2026-02-11","passed","2026-02-11","","iteration2.api.TransferTest","iteration2.api.TransferTest","userCanTransfer"
"","875","userEnterInvalidDataTest(double) [2] amount=0.0","","2026-02-11","broken","2026-02-11","","iteration2.ui.DepositTest","iteration2.ui.DepositTest","userEnterInvalidDataTest"
"","878","userEnterInvalidDataTest(double) [1] amount=-50.0","","2026-02-11","broken","2026-02-11","","iteration2.ui.DepositTest","iteration2.ui.DepositTest","userEnterInvalidDataTest"
"","1218","adminCanCreateUserWithCorrectData()","","2026-02-11","passed","2026-02-11","","iteration2.api.CreateUserTest","iteration2.api.CreateUserTest","adminCanCreateUserWithCorrectData"
"","1402","userInvalidTransferToken(String, int, int, double) [1] userAuthSender=Basic cGN3OGpVYzdHcEJNZ2M6T0RPYmx2aDg0MiUm, senderId=7, receiverId=6, transferBalance=50","","2026-02-11","passed","2026-02-11","","iteration2.api.TransferTest","iteration2.api.TransferTest","userInvalidTransferToken"
"","597","userCanUpdateAccountName(String, String) [4] userAuth=Basic ZUs4RUp1MXBSOVM6VEJJcmFwYTM2NCUl, updateName=aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa","","2026-02-11","passed","2026-02-11","","iteration2.api.UpdateNameTest","iteration2.api.UpdateNameTest","userCanUpdateAccountName"
"","1942","userCanNotDeposit(int, String) [1] balance=0, errorValue=Deposit amount must be at least 0.01","","2026-02-11","passed","2026-02-11","","iteration2.api.DepositTest","iteration2.api.DepositTest","userCanNotDeposit"
"","544","userCanUpdateAccountName(String, String) [2] userAuth=Basic SnRkODRHWDpJRkx2bnZqNTQzJCQ=, updateName=Murka kisa","","2026-02-11","passed","2026-02-11","","iteration2.api.UpdateNameTest","iteration2.api.UpdateNameTest","userCanUpdateAccountName"
"","1169","userInvalidToken(String, int) [3] userAuth=Basic alFyS0Q0bTBrZENFdWZrOk1WVHdsbXo4NDYlJA==, userId=4","","2026-02-11","passed","2026-02-11","","iteration2.api.DepositTest","iteration2.api.DepositTest","userInvalidToken"
"","1476","userCanTransfer(String, String, int, int, double) [3] userAuthSender=Basic blpCRndiVEZUUERBNjpHUElzcmxnMDU0JSQ=, userAuthReceiver=Basic cGN3OGpVYzdHcEJNZ2M6T0RPYmx2aDg0MiUm, senderId=7, receiverId=6, transferBalance=10","","2026-02-11","passed","2026-02-11","","iteration2.api.TransferTest","iteration2.api.TransferTest","userCanTransfer"
"","908","userCanUpdateName()","","2026-02-11","broken","2026-02-11","","iteration2.ui.UpdateNameTest","iteration2.ui.UpdateNameTest","userCanUpdateName"
